Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,All Open Access Documents,Category Normalized Citation Impact,% Hot Papers,Journal Normalized Citation Impact,ISSN,% Highly Cited Papers,Publisher (unified),Source Type,WoS Categories,% All Open Access Documents,Journal Impact Factor,JIF Quartile,Documents in Top 1%,Documents in Top 10%,Hot Papers,% Documents in Top 1%,% Documents in Top 10%,Highly Cited Papers,Times Cited without Self-Citations,International Collaborations,% International Collaborations,Immediacy Index,Average JIF Percentile,Gold Documents,Gold - Hybrid Documents,% Gold Documents,% Gold - Hybrid Documents
BIOLOGICAL CONSERVATION,57,1046,27,82.46,14,1.4033105263157897,0.0,1.1087719298245615,0006-3207,1.75,Elsevier (Unified),Journal,BIODIVERSITY CONSERVATION;ECOLOGY;ENVIRONMENTAL SCIENCES,24.56,5.9,Q1,3,12,0,5.26,21.05,1,965,40,70.18,1.0,86.6,0,8,0.0,14.04
ASTROPHYSICAL JOURNAL,125,1012,28,88.0,125,0.9688656,0.0,0.8947200000000001,0004-637X,0.0,,Journal,ASTRONOMY & ASTROPHYSICS,100.0,4.9,Q1,0,10,0,0.0,8.0,0,691,114,91.2,1.5,77.5,50,3,40.0,2.4
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,119,920,29,80.67,117,0.6157252100840337,0.0,0.8357983193277312,1661-6596,0.0,,Journal,"BIOCHEMISTRY & MOLECULAR BIOLOGY;CHEMISTRY, MULTIDISCIPLINARY",98.32,5.6,Q1,0,6,0,0.0,5.04,0,794,88,73.95,1.1,74.1,117,0,98.32,0.0
HELIYON,131,910,30,75.57,130,0.5471099236641221,0.0,0.7130534351145039,2405-8440,0.0,Elsevier (Unified),Journal,MULTIDISCIPLINARY SCIENCES,99.24,4.0,Q2,0,6,0,0.0,4.58,0,893,32,24.43,0.6,69.2,126,0,96.18,0.0
LANCET,4,901,31,100.0,4,29.740975000000002,25.0,1.32,0140-6736,75.0,Elsevier (Unified),Journal,"MEDICINE, GENERAL & INTERNAL",100.0,168.9,Q1,4,4,1,100.0,100.0,3,875,4,100.0,33.7,99.7,0,1,0.0,25.0
ARCHIVES OF VIROLOGY,35,898,32,82.86,18,3.6620771428571435,2.86,5.159428571428572,0304-8608,11.43,Springer Nature (Unified),Journal,VIROLOGY,51.43,2.7,Q3,5,10,1,14.29,28.57,4,829,16,45.71,0.8,26.4,0,2,0.0,5.71
CHEMOSPHERE,72,894,33,95.83,8,0.9385875,0.0,0.5901388888888889,0045-6535,0.0,Elsevier (Unified),Journal,ENVIRONMENTAL SCIENCES,11.11,8.8,Q1,0,2,0,0.0,2.78,0,817,20,27.78,2.5,89.3,0,2,0.0,2.78
ECOLOGY LETTERS,19,874,34,100.0,15,5.668447368421053,5.26,2.4289473684210527,1461-023X,10.53,Wiley (Unified),Journal,ECOLOGY,78.95,8.8,Q1,2,8,1,10.53,42.11,2,841,19,100.0,1.7000000000000002,95.6,0,5,0.0,26.32
NATURE ECOLOGY & EVOLUTION,25,859,35,92.0,19,6.199368000000001,0.0,2.4524,2397-334X,8.0,Springer Nature (Unified),Journal,ECOLOGY;EVOLUTIONARY BIOLOGY,76.0,16.8,Q1,8,19,0,32.0,76.0,2,848,24,96.0,3.2,99.4,0,4,0.0,16.0
NEW PHYTOLOGIST,50,844,36,82.0,40,1.6891500000000002,0.0,0.8398,0028-646X,4.0,Wiley (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;PLANT SCIENCES,80.0,9.4,Q1,3,6,0,6.0,12.0,2,782,31,62.0,1.9000000000000001,95.6,0,6,0.0,12.0
JOURNAL OF CHEMICAL PHYSICS,43,825,37,76.74,29,1.6817930232558138,0.0,1.6818604651162792,0021-9606,4.65,,Journal,"CHEMISTRY, PHYSICAL;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",67.44,4.4,Q1,2,5,0,4.65,11.63,2,698,34,79.07,1.0,69.3,0,6,0.0,13.95
AUTOPHAGY,6,823,38,66.67,6,6.527200000000001,0.0,2.0433333333333334,1554-8627,16.67,Taylor & Francis (Unified),Journal,CELL BIOLOGY,100.0,13.3,Q1,1,1,0,16.67,16.67,1,785,3,50.0,1.9000000000000001,90.3,0,1,0.0,16.67
MOLECULES,65,793,39,95.38,65,0.8801892307692308,0.0,1.174923076923077,1420-3049,1.54,,Journal,"BIOCHEMISTRY & MOLECULAR BIOLOGY;CHEMISTRY, MULTIDISCIPLINARY;CHEMISTRY, ORGANIC",100.0,4.6,Q2,1,6,0,1.54,9.23,1,713,45,69.23,1.0,65.5,65,0,100.0,0.0
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,44,789,40,86.36,11,0.8365431818181819,0.0,0.8429545454545455,0360-3199,2.27,Elsevier (Unified),Conference Proceedings,"CHEMISTRY, PHYSICAL;ELECTROCHEMISTRY;ENERGY & FUELS;ENVIRONMENTAL SCIENCES;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",25.0,7.2,Q1,1,1,0,2.27,2.27,1,545,21,47.73,2.4,75.3,0,6,0.0,13.64
FOOD & FUNCTION,26,774,41,88.46,14,1.2068807692307693,0.0,0.9861538461538462,2042-6496,3.85,,Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;FOOD SCIENCE & TECHNOLOGY,53.85,6.1,Q1,1,3,0,3.85,11.54,1,731,9,34.62,1.1,82.2,0,4,0.0,15.38
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,125,756,42,85.6,35,0.46018960000000003,0.0,0.4756,0944-1344,0.0,Springer Nature (Unified),Journal,ENVIRONMENTAL SCIENCES,28.0,5.8,Q1,0,0,0,0.0,0.0,0,657,32,25.6,1.5,75.8,0,2,0.0,1.6
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,45,745,43,88.89,9,1.1735244444444446,0.0,0.7831111111111112,0141-8130,0.0,Elsevier (Unified),Journal,"BIOCHEMISTRY & MOLECULAR BIOLOGY;CHEMISTRY, APPLIED;POLYMER SCIENCE",20.0,8.2,Q1,1,9,0,2.22,20.0,0,662,21,46.67,1.7000000000000002,91.3,0,2,0.0,4.44
JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,64,742,44,82.81,14,0.5513046875000001,0.0,0.56515625,2213-2929,0.0,Elsevier (Unified),Journal,"ENGINEERING, CHEMICAL;ENGINEERING, ENVIRONMENTAL",21.88,7.7,Q1,0,3,0,0.0,4.69,0,687,21,32.81,1.7000000000000002,84.1,0,1,0.0,1.56
CARBOHYDRATE POLYMERS,36,721,45,94.44,7,1.5749694444444444,0.0,0.6786111111111112,0144-8617,0.0,Elsevier (Unified),Journal,"CHEMISTRY, APPLIED;CHEMISTRY, ORGANIC;POLYMER SCIENCE",19.44,11.2,Q1,1,11,0,2.78,30.56,0,658,10,27.78,2.9000000000000004,96.9,0,0,0.0,0.0
PHYSICAL REVIEW B,148,720,46,80.41,134,0.399275,0.0,0.5868918918918918,2469-9950,0.0,,Journal,"MATERIALS SCIENCE, MULTIDISCIPLINARY;PHYSICS, APPLIED;PHYSICS, CONDENSED MATTER",90.54,3.7,Q2,0,1,0,0.0,0.68,0,484,95,64.19,1.0,62.8,0,6,0.0,4.05
CRETACEOUS RESEARCH,118,714,47,87.29,24,1.2054601694915255,0.0,1.1907627118644069,0195-6671,0.0,Elsevier (Unified),Journal,GEOLOGY;PALEONTOLOGY,20.34,2.1,Q1,0,15,0,0.0,12.71,0,556,60,50.85,0.6,76.4,0,4,0.0,3.39
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,12,695,48,100.0,10,2.173025,0.0,0.9558333333333334,1433-7851,8.33,Wiley (Unified),Journal,"CHEMISTRY, MULTIDISCIPLINARY",83.33,16.6,Q1,0,2,0,0.0,16.67,1,674,11,91.67,3.9000000000000004,93.0,0,7,0.0,58.33
NUCLEIC ACIDS RESEARCH,20,690,49,85.0,20,2.5143,0.0,0.9200000000000002,0305-1048,15.0,Oxford University Press (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY,100.0,14.9,Q1,3,5,0,15.0,25.0,3,631,16,80.0,1.4000000000000001,96.7,20,0,100.0,0.0
JOURNAL OF APPLIED ECOLOGY,33,685,50,87.88,28,2.991354545454546,0.0,1.305757575757576,0021-8901,0.0,Wiley (Unified),Journal,BIODIVERSITY CONSERVATION;ECOLOGY,84.85,5.7,Q1,3,11,0,9.09,33.33,0,650,26,78.79,0.9,89.3,0,4,0.0,12.12
CURRENT BIOLOGY,33,680,51,90.91,30,1.5086212121212121,0.0,1.0624242424242425,0960-9822,0.0,Elsevier (Unified),Journal,BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOLOGY;CELL BIOLOGY,90.91,9.2,Q1,0,11,0,0.0,33.33,0,658,27,81.82,2.7,89.7,0,27,0.0,81.82
CLIMATE DYNAMICS,41,677,52,85.37,19,1.4180609756097562,0.0,1.396341463414634,0930-7575,4.88,Springer Nature (Unified),Journal,METEOROLOGY & ATMOSPHERIC SCIENCES,46.34,4.6,Q2,2,5,0,4.88,12.2,2,528,28,68.29,0.7000000000000001,73.9,0,4,0.0,9.76
FRONTIERS IN ENDOCRINOLOGY,59,672,53,71.19,59,0.6666576271186442,0.0,0.6876271186440678,1664-2392,1.69,,Journal,ENDOCRINOLOGY & METABOLISM,100.0,5.2,Q1,0,3,0,0.0,5.08,1,634,25,42.37,0.6,75.5,59,0,100.0,0.0
JOURNAL OF EXPERIMENTAL BOTANY,54,655,54,88.89,30,1.0084870370370371,0.0,0.7701851851851852,0022-0957,0.0,Oxford University Press (Unified),Journal,PLANT SCIENCES,55.56,6.9,Q1,0,3,0,0.0,5.56,0,588,26,48.15,1.6,92.7,0,11,0.0,20.37
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,44,649,55,97.73,38,1.0635204545454546,0.0,0.7061363636363637,0147-6513,0.0,Elsevier (Unified),Journal,ENVIRONMENTAL SCIENCES;TOXICOLOGY,86.36,6.8,Q1,0,7,0,0.0,15.91,0,624,14,31.82,1.3,88.1,9,4,20.45,9.09
PHYSICAL REVIEW E,130,639,56,82.31,101,0.6642576923076924,0.0,0.7355384615384616,2470-0045,0.0,,Journal,"PHYSICS, FLUIDS & PLASMAS;PHYSICS, MATHEMATICAL",77.69,2.4,Q1,0,7,0,0.0,5.38,0,473,65,50.0,0.7000000000000001,66.4,0,8,0.0,6.15
MARINE POLLUTION BULLETIN,52,623,57,88.46,8,1.6072538461538461,0.0,1.0542307692307693,0025-326X,1.92,Elsevier (Unified),Journal,ENVIRONMENTAL SCIENCES;MARINE & FRESHWATER BIOLOGY,15.38,5.8,Q1,3,15,0,5.77,28.85,1,506,21,40.38,1.2,86.3,0,1,0.0,1.92
JOURNAL OF PHYSICAL CHEMISTRY C,87,620,58,90.8,30,0.39346551724137935,0.0,0.6983908045977012,1932-7447,0.0,,Journal,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",34.48,3.7,Q2,0,0,0,0.0,0.0,0,546,55,63.22,0.7000000000000001,50.2,0,3,0.0,3.45
JOURNAL OF ALLOYS AND COMPOUNDS,61,594,59,91.8,17,0.8601196721311476,0.0,0.7445901639344262,0925-8388,0.0,Elsevier (Unified),Journal,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;METALLURGY & METALLURGICAL ENGINEERING",27.87,6.2,Q1,0,4,0,0.0,6.56,0,509,35,57.38,1.7000000000000002,78.9,0,3,0.0,4.92
PLOS NEGLECTED TROPICAL DISEASES,57,584,60,92.98,57,1.177001754385965,0.0,1.0647368421052632,1935-2735,0.0,,Journal,PARASITOLOGY;TROPICAL MEDICINE,100.0,3.8,Q1,2,6,0,3.51,10.53,0,528,39,68.42,1.2,88.1,57,0,100.0,0.0
GLOBAL ECOLOGY AND BIOGEOGRAPHY,25,576,61,100.0,20,2.6170839999999997,0.0,1.7644,1466-822X,0.0,Wiley (Unified),Journal,"ECOLOGY;GEOGRAPHY;GEOGRAPHY, PHYSICAL",80.0,6.4,Q1,1,11,0,4.0,44.0,0,567,22,88.0,1.7000000000000002,92.5,0,6,0.0,24.0
FRONTIERS IN MARINE SCIENCE,35,567,62,85.71,35,1.0538142857142858,0.0,1.2077142857142857,n/a,5.71,,Journal,MARINE & FRESHWATER BIOLOGY,100.0,3.7,Q1,1,5,0,2.86,14.29,2,477,27,77.14,0.6,92.2,34,0,97.14,0.0
MOLECULAR AND CELLULAR ENDOCRINOLOGY,60,564,63,86.67,10,0.5490116666666667,0.0,0.7856666666666666,0303-7207,0.0,Elsevier (Unified),Journal,CELL BIOLOGY;ENDOCRINOLOGY & METABOLISM,16.67,4.1,Q2,0,1,0,0.0,1.67,0,514,17,28.33,1.1,54.8,0,1,0.0,1.67
CELL REPORTS,22,555,64,100.0,22,1.599018181818182,0.0,1.255,2211-1247,0.0,Elsevier (Unified),Journal,CELL BIOLOGY,100.0,8.8,Q1,0,5,0,0.0,22.73,0,542,20,90.91,1.8,83.5,22,0,100.0,0.0
NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY,1,545,65,100.0,1,63.874,0.0,4.19,1759-5045,100.0,Springer Nature (Unified),Journal,GASTROENTEROLOGY & HEPATOLOGY,100.0,65.1,Q1,1,1,0,100.0,100.0,1,540,1,100.0,5.3,99.5,0,1,0.0,100.0
APPLIED SURFACE SCIENCE,56,529,66,96.43,15,0.6616910714285715,0.0,0.5923214285714286,0169-4332,0.0,Elsevier (Unified),Journal,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, COATINGS & FILMS;PHYSICS, APPLIED;PHYSICS, CONDENSED MATTER",26.79,6.7,Q1,0,0,0,0.0,0.0,0,491,34,60.71,1.5,83.4,0,1,0.0,1.79
BIOLOGICAL INVASIONS,74,519,67,83.78,28,0.8789243243243244,0.0,1.0367567567567568,1387-3547,0.0,Springer Nature (Unified),Journal,BIODIVERSITY CONSERVATION;ECOLOGY,37.84,2.9,Q2,0,6,0,0.0,8.11,0,469,47,63.51,0.7000000000000001,66.3,0,4,0.0,5.41
NATURE GENETICS,4,513,68,100.0,2,9.792300000000001,0.0,1.2775,1061-4036,25.0,Springer Nature (Unified),Journal,GENETICS & HEREDITY,50.0,30.8,Q1,2,4,0,50.0,100.0,1,507,4,100.0,6.9,99.1,0,1,0.0,25.0
MICROORGANISMS,45,513,68,86.67,45,0.9049466666666667,0.0,1.0135555555555555,2076-2607,2.22,,Journal,MICROBIOLOGY,100.0,4.5,Q2,0,3,0,0.0,6.67,1,464,37,82.22,1.1,65.6,45,0,100.0,0.0
JOURNAL OF APPLIED MICROBIOLOGY,43,508,70,88.37,19,0.6579,0.0,0.872325581395349,1364-5072,0.0,Oxford University Press (Unified),Journal,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;MICROBIOLOGY,44.19,4.0,Q2,0,1,0,0.0,2.33,0,502,10,23.26,0.9,61.5,0,0,0.0,0.0
TRENDS IN ECOLOGY & EVOLUTION,9,502,71,88.89,6,8.185855555555555,0.0,2.3111111111111113,0169-5347,22.22,Elsevier (Unified),Journal,ECOLOGY;EVOLUTIONARY BIOLOGY;GENETICS & HEREDITY,66.67,16.8,Q1,4,7,0,44.44,77.78,2,487,9,100.0,5.1000000000000005,99.1,0,0,0.0,0.0
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,52,493,72,86.54,21,2.8156461538461537,0.0,1.0878846153846156,0024-4082,0.0,Oxford University Press (Unified),Journal,ZOOLOGY,40.38,2.8,Q1,2,12,0,3.85,23.08,0,458,35,67.31,1.2,93.5,0,0,0.0,0.0
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,89,491,73,85.39,43,0.4272033707865169,0.0,0.5974157303370786,1463-9076,0.0,,Journal,"CHEMISTRY, PHYSICAL;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",48.31,3.3,Q2,0,2,0,0.0,2.25,0,456,56,62.92,0.8,60.7,0,8,0.0,8.99
JOURNAL OF ENVIRONMENTAL MANAGEMENT,35,479,74,94.29,4,1.036357142857143,0.0,0.6937142857142857,0301-4797,0.0,Elsevier (Unified),Journal,ENVIRONMENTAL SCIENCES,11.43,8.7,Q1,0,3,0,0.0,8.57,0,450,12,34.29,1.6,88.9,0,1,0.0,2.86
ENVIRONMENTAL POLLUTION,44,475,75,88.64,6,1.4028363636363637,0.0,0.9763636363636364,0269-7491,0.0,Elsevier (Unified),Journal,ENVIRONMENTAL SCIENCES,13.64,8.9,Q1,0,6,0,0.0,13.64,0,438,22,50.0,1.7000000000000002,90.0,0,0,0.0,0.0
COLLOIDS AND SURFACES B-BIOINTERFACES,43,473,76,88.37,11,0.6612232558139535,0.0,0.5951162790697674,0927-7765,0.0,Elsevier (Unified),Journal,"BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOPHYSICS;CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, BIOMATERIALS",25.58,5.8,Q1,0,2,0,0.0,4.65,0,455,16,37.21,1.2,75.5,0,1,0.0,2.33
EARTH-SCIENCE REVIEWS,20,473,76,95.0,5,1.545345,0.0,0.8780000000000001,0012-8252,5.0,Elsevier (Unified),Journal,"GEOSCIENCES, MULTIDISCIPLINARY",25.0,12.1,Q1,0,4,0,0.0,20.0,1,445,18,90.0,2.6,97.8,0,1,0.0,5.0
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,56,470,78,83.93,20,0.6344392857142858,0.0,0.7726785714285714,0175-7598,0.0,Springer Nature (Unified),Journal,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,35.71,5.0,Q1,0,2,0,0.0,3.57,0,445,18,32.14,0.9,77.5,0,2,0.0,3.57
FRONTIERS IN EARTH SCIENCE,35,470,78,82.86,35,0.79004,0.0,1.168857142857143,2296-6463,0.0,,Journal,"GEOSCIENCES, MULTIDISCIPLINARY",100.0,2.9,Q2,0,1,0,0.0,2.86,0,431,28,80.0,0.6,56.7,35,0,100.0,0.0
FOREST ECOLOGY AND MANAGEMENT,90,468,80,78.89,11,0.8738044444444445,0.0,0.6363333333333334,0378-1127,0.0,Elsevier (Unified),Journal,FORESTRY,12.22,3.7,Q1,1,4,0,1.11,4.44,0,394,34,37.78,0.8,89.1,0,3,0.0,3.33
