Name,Rank,Web of Science Documents,Times Cited,JCI Quartile
PHYSICS LETTERS B,101,869,69935,Q1
HYDROBIOLOGIA,102,868,42482,Q2
CELL REPORTS,103,864,84368,Q1
NANOSCALE,103,864,97262,Q1
BLOOD,105,862,175304,Q1
MARINE ECOLOGY PROGRESS SERIES,106,861,53445,Q1
JOURNAL OF ENVIRONMENTAL MANAGEMENT,107,856,84888,Q1
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,108,846,64048,Q1
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,109,845,45840,Q2
SCIENCE ADVANCES,110,843,103111,Q1
CANCER RESEARCH,111,839,162934,Q1
APPLIED PHYSICS LETTERS,112,833,75973,Q2
ANALYTICAL CHEMISTRY,113,832,104017,Q1
JOURNAL OF ALLOYS AND COMPOUNDS,114,819,38994,Q1
ECOLOGY AND EVOLUTION,115,814,29364,Q2
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,116,812,51656,Q2
OECOLOGIA,117,810,50383,Q2
PLOS GENETICS,118,805,109114,Q1
JOURNAL OF VERTEBRATE PALEONTOLOGY,119,802,21217,Q2
INDUSTRIAL CROPS AND PRODUCTS,119,802,51593,Q1
WATER RESEARCH,121,798,126291,Q1
JOURNAL OF COLLOID AND INTERFACE SCIENCE,122,791,63084,Q1
BIOLOGICAL INVASIONS,123,786,38383,Q2
NEUROIMAGE,123,786,212680,Q1
BIOINFORMATICS,125,777,723395,Q1
ECOLOGICAL INDICATORS,126,775,49389,Q1
COLLOIDS AND SURFACES B-BIOINTERFACES,127,772,54554,Q1
TALANTA,128,761,47482,Q1
CATALYSIS TODAY,129,760,57132,Q1
ENDOCRINOLOGY,129,760,58218,Q2
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,131,757,196545,Q1
JOURNAL OF ECOLOGY,132,756,75078,Q1
CHEMISTRY-A EUROPEAN JOURNAL,133,750,51477,Q2
JOURNAL OF APPLIED ECOLOGY,134,749,75605,Q1
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,135,748,79979,Q2
JOURNAL OF EXPERIMENTAL BIOLOGY,135,748,47380,Q2
QUATERNARY SCIENCE REVIEWS,137,739,53619,Q1
FRONTIERS IN PSYCHOLOGY,138,738,50975,Q1
ONCOTARGET,139,737,42906,n/a
NUTRIENTS,140,726,72015,Q1
VACCINE,141,725,44614,Q2
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,142,716,56292,Q1
JOURNAL OF BIOGEOGRAPHY,143,715,57242,Q1
ANNALS OF BOTANY,144,713,63132,Q1
JOURNAL OF BACTERIOLOGY,145,711,55252,Q2
BIOMATERIALS,146,706,158944,Q1
APPLIED CATALYSIS A-GENERAL,147,703,51238,Q2
JOURNAL OF APPLIED PHYSICS,148,700,39547,Q2
JOURNAL OF CLINICAL INVESTIGATION,148,700,201288,Q1
REMOTE SENSING OF ENVIRONMENT,150,697,134556,Q1
MOLECULAR CELL,151,689,185797,Q1
JOURNAL OF PHYSICAL CHEMISTRY A,151,689,48339,Q2
THERIOGENOLOGY,153,686,28229,Q1
INORGANIC CHEMISTRY,154,683,43432,Q1
VETERINARY PARASITOLOGY,154,683,32577,Q1
TRENDS IN ECOLOGY & EVOLUTION,156,680,181723,Q1
SOIL BIOLOGY & BIOCHEMISTRY,157,678,82651,Q1
FIELD CROPS RESEARCH,158,674,44952,Q1
QUATERNARY INTERNATIONAL,159,665,18374,Q2
PLANT CELL AND ENVIRONMENT,160,664,71655,Q1
BIOCHEMISTRY,160,664,38601,Q3
BIOPHYSICAL JOURNAL,162,661,59331,Q1
PARASITOLOGY RESEARCH,163,660,19172,Q3
CRETACEOUS RESEARCH,164,659,15651,Q1
PARASITES & VECTORS,165,658,26707,Q1
ANALYTICA CHIMICA ACTA,166,657,55202,Q1
PLANT AND SOIL,167,653,54596,Q1
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,168,648,33840,Q1
REMOTE SENSING,169,647,44766,Q1
ATMOSPHERIC CHEMISTRY AND PHYSICS,170,646,69786,Q1
JOURNAL OF POWER SOURCES,171,644,86044,Q1
JOURNAL OF CHROMATOGRAPHY A,172,643,46766,Q1
EVOLUTION,172,643,56457,Q2
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,174,640,144861,Q1
NATURE NEUROSCIENCE,175,638,194928,Q1
JOURNAL OF CLIMATE,176,637,115537,Q1
JOURNAL OF ORGANIC CHEMISTRY,177,635,35987,Q1
FUNCTIONAL ECOLOGY,178,634,58959,Q1
JOURNAL OF MEDICINAL CHEMISTRY,179,631,99628,Q1
GEOLOGY,180,630,53253,Q1
FUEL,181,627,51174,Q1
FOOD CONTROL,182,625,42405,Q1
OIKOS,183,622,56226,Q2
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,184,619,57112,n/a
SENSORS AND ACTUATORS B-CHEMICAL,185,615,41774,Q1
GLOBAL ECOLOGY AND BIOGEOGRAPHY,185,615,75610,Q1
CHEMISTRY OF MATERIALS,187,611,106361,Q1
TRENDS IN FOOD SCIENCE & TECHNOLOGY,187,611,84831,Q1
PLOS BIOLOGY,187,611,129389,Q1
JOURNAL OF PHYSICAL CHEMISTRY LETTERS,190,605,70562,Q1
NEUROSCIENCE,190,605,38511,Q3
NATURE MEDICINE,190,605,308764,Q1
JOURNAL OF MATERIALS CHEMISTRY A,193,604,81343,Q1
OPTICS EXPRESS,194,603,48362,Q1
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,195,602,47327,Q2
ORGANIC LETTERS,196,601,32899,Q1
JOURNAL OF CONTROLLED RELEASE,197,590,98958,Q1
FREE RADICAL BIOLOGY AND MEDICINE,198,588,77236,Q1
MOLECULAR BIOLOGY AND EVOLUTION,199,584,306861,Q1
SUSTAINABILITY,200,581,24086,Q2
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,200,581,45937,Q1
POLYMERS,202,576,33540,Q1
DEVELOPMENT,203,575,70354,Q1
AMERICAN JOURNAL OF BOTANY,203,575,38485,Q2
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,205,572,31033,Q2
DALTON TRANSACTIONS,206,571,41588,Q1
GEOMORPHOLOGY,206,571,40196,Q1
NATURE GENETICS,208,566,269043,Q1
ENVIRONMENTAL MICROBIOLOGY,209,562,57010,Q2
JOURNAL OF APPLIED MICROBIOLOGY,210,561,36995,Q2
AQUATIC TOXICOLOGY,210,561,38701,Q1
JOURNAL OF CHEMICAL THEORY AND COMPUTATION,212,556,116180,Q1
CLINICAL CANCER RESEARCH,213,555,101070,Q1
