Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,% Documents in Top 1%,% Documents in Top 10%,% Highly Cited Papers,Highly Cited Papers,% Hot Papers,Documents in JIF Journals,Documents in Q1 Journals,% Documents in Q1 Journals,Documents in Top 1%,Documents in Top 10%,Hot Papers
"BUSINESS, FINANCE",13,53,209,76.92,0.9016923076923078,0.0,0.0,0.0,0,0.0,8,0,0.0,0,0,0
"ENGINEERING, OCEAN",13,44,210,61.54,0.9129307692307692,0.0,15.38,0.0,0,0.0,9,3,33.33,0,2,0
HISTORY OF SOCIAL SCIENCES,39,44,210,35.9,0.6574641025641026,0.0,5.13,0.0,0,0.0,27,12,44.44,0,2,0
EMERGENCY MEDICINE,6,43,212,100.0,2.538816666666667,16.67,33.33,0.0,0,0.0,6,4,66.67,1,2,0
"ENGINEERING, MARINE",12,42,213,58.33,1.0399833333333335,0.0,16.67,0.0,0,0.0,7,6,85.71,0,2,0
LITERATURE,196,41,214,13.27,0.3991295918367347,0.0,2.04,0.0,0,0.0,0,0,0.0,0,4,0
ANESTHESIOLOGY,9,40,215,77.78,1.2726222222222223,0.0,11.11,0.0,0,0.0,6,3,50.0,0,1,0
DEMOGRAPHY,56,40,215,28.57,0.15456428571428574,0.0,0.0,0.0,0,0.0,9,0,0.0,0,0,0
Women's Studies,35,39,217,25.71,0.5477542857142857,0.0,8.57,0.0,0,0.0,9,2,22.22,0,3,0
CRIMINOLOGY & PENOLOGY,16,38,218,56.25,0.61333125,0.0,0.0,0.0,0,0.0,13,2,15.38,0,0,0
RELIGION,71,33,219,26.76,0.7554704225352114,0.0,4.23,0.0,0,0.0,3,0,0.0,0,3,0
ALLERGY,8,31,220,75.0,1.2005375,0.0,25.0,0.0,0,0.0,6,2,33.33,0,2,0
"COMPUTER SCIENCE, CYBERNETICS",16,31,220,68.75,0.19181250000000002,0.0,0.0,0.0,0,0.0,7,1,14.29,0,0,0
"FILM, RADIO, TELEVISION",32,31,220,15.62,0.722221875,3.12,3.12,0.0,0,0.0,2,0,0.0,1,1,0
TRANSPORTATION SCIENCE & TECHNOLOGY,9,30,223,66.67,0.39558888888888893,0.0,0.0,0.0,0,0.0,7,4,57.14,0,0,0
PUBLIC ADMINISTRATION,30,29,224,36.67,0.17399333333333333,0.0,0.0,0.0,0,0.0,8,0,0.0,0,0,0
SOCIAL WORK,14,28,225,42.86,0.5060785714285715,0.0,7.14,0.0,0,0.0,3,0,0.0,0,1,0
SPORT SCIENCES,9,28,225,77.78,0.6929444444444445,0.0,0.0,0.0,0,0.0,7,2,28.57,0,0,0
ARCHITECTURE,54,26,227,25.93,0.5486037037037037,0.0,1.85,0.0,0,0.0,2,0,0.0,0,1,0
MICROSCOPY,11,25,228,63.64,0.4193545454545454,0.0,0.0,0.0,0,0.0,8,4,50.0,0,0,0
AGRICULTURAL ECONOMICS & POLICY,5,17,229,80.0,1.27454,0.0,0.0,0.0,0,0.0,1,0,0.0,0,0,0
NURSING,5,17,229,60.0,1.10118,0.0,20.0,0.0,0,0.0,3,3,100.0,0,1,0
MEDICAL LABORATORY TECHNOLOGY,21,15,231,38.1,0.12537619047619047,0.0,0.0,0.0,0,0.0,15,2,13.33,0,0,0
"SOCIAL SCIENCES, MATHEMATICAL METHODS",22,14,232,40.91,0.21634090909090908,0.0,0.0,0.0,0,0.0,10,3,30.0,0,0,0
ERGONOMICS,8,13,233,62.5,0.23836250000000003,0.0,0.0,0.0,0,0.0,6,2,33.33,0,0,0
ETHNIC STUDIES,10,13,233,40.0,0.56774,0.0,0.0,0.0,0,0.0,2,0,0.0,0,0,0
LITERARY THEORY & CRITICISM,135,13,233,7.41,1.1432037037037037,0.0,4.44,0.0,0,0.0,0,0,0.0,0,6,0
MEDIEVAL & RENAISSANCE STUDIES,41,12,236,17.07,0.7534951219512196,0.0,4.88,0.0,0,0.0,0,0,0.0,0,2,0
CLASSICS,42,9,237,14.29,0.4199309523809524,0.0,2.38,0.0,0,0.0,0,0,0.0,0,1,0
"PSYCHOLOGY, PSYCHOANALYSIS",9,8,238,66.67,1.7358000000000002,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
PRIMARY HEALTH CARE,2,7,239,100.0,5.9738,0.0,50.0,0.0,0,0.0,2,0,0.0,0,1,0
MUSIC,18,2,240,5.56,0.1513888888888889,0.0,0.0,0.0,0,0.0,1,0,0.0,0,0,0
OTORHINOLARYNGOLOGY,4,2,240,50.0,0.5910500000000001,0.0,0.0,0.0,0,0.0,3,0,0.0,0,0,0
"EDUCATION, SPECIAL",2,1,242,50.0,0.07060000000000001,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
ORTHOPEDICS,2,1,242,50.0,0.17025,0.0,0.0,0.0,0,0.0,1,0,0.0,0,0,0
THEATER,14,1,242,7.14,0.1409214285714286,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
ASIAN STUDIES,4,0,245,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
DANCE,2,0,245,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
FOLKLORE,7,0,245,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
LITERARY REVIEWS,7,0,245,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",1,0,245,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0

Filter Summary:
Dataset: InCites Dataset + ESCI
Schema:  Web of Science
"Time Period:  [2019, 2023]"
Include Early Access documents:  true
Funding Data Source:  All Sources
Domestic/International Collaboration:  All
Organization Name:  [Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET)]

"Exported date  Feb 28, 2024. "
"InCites dataset updated  2024-01-25. Includes Web of Science content indexed through 2023-12-31. "

